name,price,image,Description for the website,Sales Description,Is published,Extra Product Media/Name,Extra Product Media/Image,Product Attributes/Attribute,Product Attributes/values
,,,,,,,,Type de processeur,Intel i5-1135G7 (Quad-Core 2.4 GHz / 4.2 GHz Turbo - 8 Threads - Cache 8 Mo)
,,,,,,,,Fréquence CPU,2.4GHz
,,,,,,,,Nombre de core,4
,,,,,,,,Taille de la mémoire,16Go
,,,,,,,,Nombre de barrettes,2
,,,,,,,,Nombre de slots mémoire disponibles,0
,,,,,,,,Type de mémoire,DDR4
,,,,,,,,Taille de mémoire Max,16Go
,,,,,,,,GPU series,Intel Iris
,,,,,,,,Chipset graphique,Intel Iris Xe Graphics
,,,,,,,,Max-Q (Design GPU),Non
,,,,,,,,RTX Studio,Non
,,,,,,,,Ecran tactile,Non
,,,,,,,,Type de Dalle,Dalle TN
,,,,,,,,Type d'écran,LED
,,,,,,,,Taille de l'écran,14pouces
,,,,,,,,Résolution Max,1920 x 1080 pixels
,,,,,,,,Format de l'écran,16/9
,,,,,,,,Ecran large,Oui
,,,,,,,,Dalle mate/antireflets,Oui
,,,,,,,,Dalle brillante,Non
,,,,,,,,NVIDIA G-SYNC,Non
,,,,,,,,VR Ready (réalité virtuelle),Non
,,,,,,,,Taux de rafraîchissement,60 Hz
,,,,,,,,Configuration disque(s),SSD 480 Go
,,,,,,,,Disque dur,SSD 480 Go
,,,,,,,,Disque secondaire,Sans disque secondaire
,,,,,,,,Type de Disque,SSD (Solid State Drive)
,,,,,,,,Interface du disque dur,M.2 - SATA 6Gb/s
,,,,,,,,Nombre de disques,1
,,,,,,,,Lecteur Optique,Aucun
,,,,,,,,Lecteur de cartes,micro SD
,,,,,,,,Lecteur de cartes,micro SDHC
,,,,,,,,Lecteur de cartes,micro SDXC
,,,,,,,,Norme(s) réseau sans-fil,Bluetooth
,,,,,,,,Norme(s) réseau sans-fil,Wi-Fi 6 AX
,,,,,,,,Technologie Intel vPro,Non
,,,,,,,,Sans-fil,Oui
,,,,,,,,Webcam,Oui
,,,,,,,,Type de H.P,Intégrés
,,,,,,,,Type d'activités,Bureautique
,,,,,,,,Type d'activités,Multimédia
,,,,,,,,Type d'activités,Internet
,,,,,,,,Intel Evo,Non
,,,,,,,,Norme du clavier,AZERTY
,,,,,,,,Localisation,Français
,,,,,,,,Clavier rétroéclairé,Non
,,,,,,,,Clavier RGB,Non
,,,,,,,,Pavé numérique,Non
,,,,,,,,Lecteur biométrique,Non
,,,,,,,,Office fourni,Non
,,,,,,,,Connecteur(s) disponible(s),HDMI Femelle
,,,,,,,,Connecteur(s) disponible(s),"Jack 3,5mm Femelle Stéréo"
,,,,,,,,Connecteur(s) disponible(s),USB 3.0
,,,,,,,,Connecteur(s) disponible(s),USB 3.1
,,,,,,,,Connecteur(s) disponible(s),USB 3.1 Type C
,,,,,,,,Connecteur(s) disponible(s),Thunderbolt 4/USB-C
,,,,,,,,Couleur,Noir
,,,,,,,,Couleur,Gris
,,,,,,,,Profondeur,216.8mm
,,,,,,,,Largeur,322mm
,,,,,,,,Epaisseur,16.5mm
,,,,,,,,Poids,990g
,,,,,,,,Gamme,LDLC Aurore
,,,,,,,,Ultrabook,Oui
,,,,,,,,Hybride / Convertible,Non
,,,,,,,,Indice réparabilité (sur 10),6
,,,,,,,,Définition de l'indice de réparabilité,"L'indice de réparabilité des produits s'inscrit dans le cadre de la LOI n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Une note de 1 à 10 est attribuée au produit en fonction de son ""degré"" de réparabilité. 5 critères sont pris en compte pour établir cette notation (durée de disponibilité de la documentation technique, caractère démontable de l'équipement, durée de disponibilité des pièces détachées, rapport entre le prix de vente des pièces détachées et le prix de vente de l'équipement, critères spécifiques à la catégorie d'équipements concernée). L'indice de réparabilité est obtenu en additionnant les cinq notes obtenues puis en divisant ce total par dix pour exprimer une note synthétique sur une échelle de 1 à 10."
,,,,,,,,Autonomie,10Heure(s)
,,,,,,,,Capacité de la batterie,36Wh
,,,,,,,,Batterie amovible,Non
,,,,,,,,Charge de la batterie par USB-C,Non
LDLC Aurore J1K-8-S4,10079.08,https://media.ldlc.com/r374/ld/products/00/05/91/62/LD0005916284_1.jpg,"<div class=""tab-pane active"" data-tracking-action=""click"" data-tracking-category=""Onglets fiche produit"" data-tracking-event=""click"" data-tracking-label=""Descriptif"" id=""descriptif"" role=""tabpanel"">

<div class=""tab-pane-content"">
<div class=""logo"">
<a href=""/ldlc/bint000000888/"" rel=""nofollow"">
<img alt=""LDLC"" loading=""lazy"" src=""https://media.ldlc.com/v3/marque/bo/00/02/91/96/V30002919683_2.gif""/>
</a>
</div>
<div class=""brand-logo"">LDLC</div>
<div class=""description"" id=""description"">
<div class=""details-pdt-desc"">
<h2 class=""h2-master"">Puissance et ultra mobilité</h2>
<section>
<p>Le <strong>PC portable LDLC Aurore J1K-8-S4</strong> est idéal pour les utilisateurs, professionnels ou particuliers, à la recherche d'une machine facile à transporter, bénéficiant d'une haute autonomie et suffisamment puissante pour s’acquitter de toutes les tâches informatiques. Il intègre un <strong>puissant processeur Intel Core i5</strong>, de la <strong>RAM DDR4 </strong>véloce et un<strong> SSD ultra-rapide</strong>. Son <strong>écran mat Full HD 1080p de 14""</strong> est un atout supplémentaire pour le confort d'utilisation comme pour la <strong>mobilité</strong>.</p>
</section>
<section>
<div class=""desc-image""><span><img alt="""" loading=""lazy"" src=""https://media.ldlc.com/bo/images/fiches/pc_portables/ldlc/ldlc_aurore_j1k_003.jpg""/></span></div>
<div class=""desc-text"">
<h2>De la puissance à revendre</h2>
<p>L'<strong>ordinateur portable LDLC Aurore J1K </strong>embarque un <strong>puissant processeur Intel Core i5 à 4 coeurs et 8 Threads</strong> idéal pour le multitâche et les applications lourdes. Grâce à la<strong> puce graphique Intel Iris Xe</strong>, le processeur Intel Core i5 excelle dans de nombreux domaines : Jeux vidéo en 1080p, expérience cinéma avancée 8K ou 4K HDR (avec un écran externe), montages vidéo complexes avec des vitesses d'encodage impressionnantes. La partie mémoire vive est confiée à de la <strong>DDR4 </strong>véloce tandis que le stockage est assuré par un <strong>disque SSD M.2</strong> ultra-rapide.</p>
</div>
</section>
<section>
<div class=""desc-text"">
<h2>Châssis compact et robuste</h2>
<p>Le <strong>LDLC Aurore J1K</strong> est facile à transporter. Son <strong>châssis de 14 pouces</strong>, son <strong>poids plume</strong> (moins de 1 kg) et son <strong>autonomie de 10 heures</strong> (selon les usages) vous permettent de l'emmener partout et de l'utiliser longuement sans avoir besoin de le brancher sur secteur. Sa <strong>conception résistante </strong>est un atout supplémentaire pour la mobilité. <strong>Robuste et fiable</strong>, cet ultra-portable de 14"" bénéficie d'une qualité de fabrication remarquable certifiée par la <strong>norme MIL-STD 810G</strong>.</p>
</div>
<div class=""desc-image""><span><img alt="""" loading=""lazy"" src=""https://media.ldlc.com/bo/images/fiches/pc_portables/ldlc/ldlc_aurore_j1k_002.jpg""/></span></div>
</section>
<section class=""list"">
<h2>Caractéristiques principales :</h2>
<ul>
<li><strong>Processeur Intel i5-1135G7</strong> (Quad-Core 2.4 GHz / 4.2 GHz Turbo - 8 Threads - Cache 8 Mo)</li>
<li>8 Go de mémoire vive DDR4 (soudée - 1 slot disponible supportant jusqu'à 8 Go supplémentaires)</li>
<li><strong>SSD M.2 SATA 6 Gb/s de 480 Go</strong></li>
<li><strong>Ecran mat de 14""</strong> avec résolution <strong>Full HD</strong> (1920 x 1080 pixels)</li>
<li>Communication sans fil Wi-Fi AX + Bluetooth </li>
<li><strong>Port Thunderbolt 4</strong></li>
<li>Sortie vidéo <strong>HDMI</strong></li>
<li>Haut-parleurs intégrés </li>
<li>Webcam HD </li>
<li>Lecteur MicroSD/SDHC/SDXC</li>
<li>Châssis certifié MIL-STD 810G et charnière rotative 180°</li>
<li>Jusqu'à 10 heures d'autonomie (selon l'utilisation)</li>
<li>Adaptateur secteur 65 Watts</li>
<li><strong>Aucun système d'exploitation fourni</strong></li>
</ul>
</section>
</div>
<div class=""emphasis"">
<p>Cet ordinateur portable est fourni <em>sans système d'exploitation</em>, pour vous laisser la possibilité d'installer un système d'exploitation compatible (déjà en votre possession ou acheté séparément). L'installation de Windows 10 64 bits est conseillée, pour vous permettre d'exploiter correctement toutes les possibilités offertes par ce PC portable. <em>L'installation de Windows 7/8/8.1 n'est pas possible sur ce modèle.</em></p>
</div>
</div>
<div class=""info-warning"" id=""technical-alert"">
<span class=""icon icon-info""></span>
<span class=""text"">
<strong>Informations fournies par notre service technique</strong>
                    Chaque machine est assemblée et testée par nos soins après enregistrement de la commande. Cette opération nécessite un délai supplémentaire précisé en haut de la fiche produit, sous la disponibilité, qui s'ajoute au délai d'expédition.
               </span>
</div>
</div>
</div>","Le PC portable LDLC Aurore J1K-8-S4 est idéal pour les utilisateurs, professionnels ou particuliers, à la recherche d'une machine facile à transporter, bénéficiant d'une haute autonomie et suffisamment puissante pour s'acquitter de toutes les tâches informatiques.",True,LD0005916285_1,https://media.ldlc.com/r1600/ld/products/00/05/91/62/LD0005916285_1.jpg,Désignation,LDLC Aurore J1K-8-S4
,,,,,,LD0005916285_1,https://media.ldlc.com/r1600/ld/products/00/05/91/62/LD0005916285_1.jpg,Marque,LDLC
,,,,,,LD0005916286_1,https://media.ldlc.com/r1600/ld/products/00/05/91/62/LD0005916286_1.jpg,Modèle,J1K-8-S4
,,,,,,LD0005916287_1,https://media.ldlc.com/r1600/ld/products/00/05/91/62/LD0005916287_1.jpg,Système d'exploitation,Sans OS
,,,,,,LD0005916288_1,https://media.ldlc.com/r1600/ld/products/00/05/91/62/LD0005916288_1.jpg,Famille OS,Sans OS
,,,,,,,,Langue de l'OS,N/A
,,,,,,,,Système d'exploitation fourni,Non
,,,,,,,,Marque processeur,Intel
,,,,,,,,Processeur,Intel Core i5
,,,,,,,,Plateforme (Proc.),Intel Tiger Lake
,,,,,,,,Type de processeur,Intel i5-1135G7 (Quad-Core 2.4 GHz / 4.2 GHz Turbo - 8 Threads - Cache 8 Mo)
,,,,,,,,Fréquence CPU,2.4GHz
,,,,,,,,Nombre de core,4
,,,,,,,,Taille de la mémoire,8Go
,,,,,,,,Nombre de barrettes,1
,,,,,,,,Nombre de slots mémoire disponibles,1
,,,,,,,,Type de mémoire,DDR4
,,,,,,,,Taille de mémoire Max,16Go
,,,,,,,,GPU series,Intel Iris
,,,,,,,,Chipset graphique,Intel Iris Xe Graphics
,,,,,,,,Max-Q (Design GPU),Non
,,,,,,,,RTX Studio,Non
,,,,,,,,Ecran tactile,Non
,,,,,,,,Type de Dalle,Dalle TN
,,,,,,,,Type d'écran,LED
,,,,,,,,Taille de l'écran,14pouces
,,,,,,,,Résolution Max,1920 x 1080 pixels
,,,,,,,,Format de l'écran,16/9
,,,,,,,,Ecran large,Oui
,,,,,,,,Dalle mate/antireflets,Oui
,,,,,,,,Dalle brillante,Non
,,,,,,,,NVIDIA G-SYNC,Non
,,,,,,,,VR Ready (réalité virtuelle),Non
,,,,,,,,Taux de rafraîchissement,60 Hz
,,,,,,,,Configuration disque(s),SSD 480 Go
,,,,,,,,Disque dur,SSD 480 Go
,,,,,,,,Disque secondaire,Sans disque secondaire
,,,,,,,,Type de Disque,SSD (Solid State Drive)
,,,,,,,,Interface du disque dur,M.2 - SATA 6Gb/s
,,,,,,,,Nombre de disques,1
,,,,,,,,Lecteur Optique,Aucun
,,,,,,,,Lecteur de cartes,micro SD
,,,,,,,,Lecteur de cartes,micro SDHC
,,,,,,,,Lecteur de cartes,micro SDXC
,,,,,,,,Norme(s) réseau sans-fil,Bluetooth
,,,,,,,,Norme(s) réseau sans-fil,Wi-Fi 6 AX
,,,,,,,,Technologie Intel vPro,Non
,,,,,,,,Sans-fil,Oui
,,,,,,,,Webcam,Oui
,,,,,,,,Type de H.P,Intégrés
,,,,,,,,Type d'activités,Bureautique
,,,,,,,,Type d'activités,Multimédia
,,,,,,,,Type d'activités,Internet
,,,,,,,,Intel Evo,Non
,,,,,,,,Norme du clavier,AZERTY
,,,,,,,,Localisation,Français
,,,,,,,,Clavier rétroéclairé,Non
,,,,,,,,Clavier RGB,Non
,,,,,,,,Pavé numérique,Non
,,,,,,,,Lecteur biométrique,Non
,,,,,,,,Office fourni,Non
,,,,,,,,Connecteur(s) disponible(s),"Jack 3,5mm Femelle Stéréo"
,,,,,,,,Connecteur(s) disponible(s),USB 3.0
,,,,,,,,Connecteur(s) disponible(s),USB 3.1
,,,,,,,,Connecteur(s) disponible(s),USB 3.1 Type C
,,,,,,,,Connecteur(s) disponible(s),Thunderbolt 4/USB-C
,,,,,,,,Connecteur(s) disponible(s),HDMI Femelle
,,,,,,,,Couleur,Gris
,,,,,,,,Couleur,Noir
,,,,,,,,Profondeur,216.8mm
,,,,,,,,Largeur,322mm
,,,,,,,,Epaisseur,16.5mm
,,,,,,,,Poids,990g
,,,,,,,,Gamme,LDLC Aurore
,,,,,,,,Ultrabook,Oui
,,,,,,,,Hybride / Convertible,Non
,,,,,,,,Indice réparabilité (sur 10),6
,,,,,,,,Définition de l'indice de réparabilité,"L'indice de réparabilité des produits s'inscrit dans le cadre de la LOI n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Une note de 1 à 10 est attribuée au produit en fonction de son ""degré"" de réparabilité. 5 critères sont pris en compte pour établir cette notation (durée de disponibilité de la documentation technique, caractère démontable de l'équipement, durée de disponibilité des pièces détachées, rapport entre le prix de vente des pièces détachées et le prix de vente de l'équipement, critères spécifiques à la catégorie d'équipements concernée). L'indice de réparabilité est obtenu en additionnant les cinq notes obtenues puis en divisant ce total par dix pour exprimer une note synthétique sur une échelle de 1 à 10."
,,,,,,,,Autonomie,10Heure(s)
,,,,,,,,Capacité de la batterie,36Wh
,,,,,,,,Batterie amovible,Non
,,,,,,,,Charge de la batterie par USB-C,Non
LDLC Aurore N3U-16-S4,6683.77,https://media.ldlc.com/r374/ld/products/00/05/91/60/LD0005916013_1_0005916073.jpg,"<div class=""tab-pane active"" data-tracking-action=""click"" data-tracking-category=""Onglets fiche produit"" data-tracking-event=""click"" data-tracking-label=""Descriptif"" id=""descriptif"" role=""tabpanel"">

<div class=""tab-pane-content"">
<div class=""logo"">
<a href=""/ldlc/bint000000888/"" rel=""nofollow"">
<img alt=""LDLC"" loading=""lazy"" src=""https://media.ldlc.com/v3/marque/bo/00/02/91/96/V30002919683_2.gif""/>
</a>
</div>
<div class=""brand-logo"">LDLC</div>
<div class=""description"" id=""description"">
<div class=""details-pdt-desc"">
<h2 class=""h2-master"">Un PC portable complet pour l'informatique de tous les jours</h2>
<section>
<p>Le <strong>PC portable LDLC Aurore N3U</strong> est idéal pour les étudiants, les familles et les entreprises à la recherche d'une machine simple, abordable et capable de s’acquitter des tâches informatiques courantes telles que la bureautique, la navigation Internet et les applications de divertissement multimédia. Il intègre un <strong>puissant processeur Intel Core i3</strong>, de la <strong>RAM DDR4 </strong>véloce et un<strong> SSD rapide</strong>. Equipé d'un <strong>lecteur optique, </strong>d'un lecteur de cartes mémoire et d'une connectique complète (USB 3.0, USB 3.1 Type C), il vous laisse la possibilité de lire un grand nombre de supports de stockage. Son <strong>écran mat Full HD 1080p de 15.6""</strong> est un atout supplémentaire pour le <strong>confort d'utilisation</strong> comme pour la mobilité.</p>
</section>
<section>
<div class=""desc-image""><span><img alt="""" loading=""lazy"" src=""https://media.ldlc.com/bo/images/fiches/pc_portables/ldlc/ldlc_aurore_n3u_001.jpg""/></span></div>
<div class=""desc-text"">
<h2>L'essentiel à prix abordable</h2>
<p>Le LDLC Aurore NL3U, c'est tout ce dont vous avez besoin pour l'informatique de tous les jours. Un <strong>processeur basse consommation</strong>, de la RAM en quantité suffisante et un SSD utlra-rapide pour l'exécution de vos programmes. Le tout dans un <strong>châssis élégant et sobre</strong> avec un <strong>écran Full HD 15.6""</strong>. Etudiant, professionnel ou utilisateur averti à la recherche d'une machine simple et efficace, le <strong>PC portable Aurore N3U</strong> est un choix judicieux à un prix très abordable.</p>
</div>
</section>
<section>
<div class=""desc-text"">
<h2>La mobilité en toute simplicité</h2>
<p>L'ordinateur portable LDLC Aurore N3U est conçu pour être emmené facilement partout. Il dispose de la connectique nécessaire à vos besoins essentiels, d'une <strong>châssis robuste</strong> et <strong>élégant </strong>et sa taille d'écran n'est pas un frein à vos déplacements. Sa résolution Full HD et sa large surface d'affichage permettent en outre de visualiser documents et contenus de manière très confortable. </p>
</div>
<div class=""desc-image""><span><img alt="""" loading=""lazy"" src=""https://media.ldlc.com/bo/images/fiches/pc_portables/ldlc/ldlc_aurore_n3u_002.jpg""/></span></div>
</section>
<section class=""list"">
<h2>Caractéristiques principales :</h2>
<ul>
<li><strong>Processeur Intel i3-10110U </strong>(Dual-Core 2.1 GHz / 4.1 GHz Turbo - 4 Threads - Cache 4 Mo - TDP 15W) </li>
<li>16 Go de mémoire vive DDR4 2666 MHz</li>
<li><strong>SSD SATA 6 Gb/s de 480 Go</strong></li>
<li><strong>Ecran mat de 15.6""</strong> avec résolution <strong>Full HD</strong> (1920 x 1080 pixels)</li>
<li>Communication sans fil Wi-Fi AX + Bluetooth </li>
<li><strong>Port USB 3.1 Type C</strong> avec Power Delivery</li>
<li>Sorties vidéo <strong>HDMI + VGA</strong></li>
<li><strong>Clavier avec pavé numérique</strong></li>
<li>Haut-parleurs intégrés </li>
<li>Webcam HD </li>
<li>Lecteur MicroSD/SDHC/SDXC</li>
<li>Jusqu'à 6.5 heures d'autonomie (selon l'utilisation)</li>
<li>Adaptateur secteur 45 Watts</li>
<li><strong>Aucun système d'exploitation fourni</strong></li>
</ul>
</section>
</div>
<div class=""emphasis"">
<p>Cet ordinateur portable est fourni <em>sans système d'exploitation</em>, pour vous laisser la possibilité d'installer un système d'exploitation compatible (déjà en votre possession ou acheté séparément). L'installation de Windows 10 64 bits est conseillée, pour vous permettre d'exploiter correctement toutes les possibilités offertes par ce PC portable. <em>L'installation de Windows 7/8/8.1 n'est pas possible sur ce modèle.</em></p>
</div>
</div>
<div class=""info-warning"" id=""technical-alert"">
<span class=""icon icon-info""></span>
<span class=""text"">
<strong>Informations fournies par notre service technique</strong>
                    Chaque machine est assemblée et testée par nos soins après enregistrement de la commande. Cette opération nécessite un délai supplémentaire précisé en haut de la fiche produit, sous la disponibilité, qui s'ajoute au délai d'expédition.
               </span>
</div>
</div>
</div>","Le PC portable LDLC Aurore N3U est idéal pour les étudiants, les familles et les entreprises à la recherche d'une machine simple, abordable et capable de s'acquitter des tâches informatiques courantes telles que la bureautique, la navigation Internet et les applications de divertissement multimédia.",True,LD0005916014_1_0005916074,https://media.ldlc.com/r1600/ld/products/00/05/91/60/LD0005916014_1_0005916074.jpg,Désignation,LDLC Aurore N3U-16-S4
,,,,,,LD0005916014_1_0005916074,https://media.ldlc.com/r1600/ld/products/00/05/91/60/LD0005916014_1_0005916074.jpg,Marque,LDLC
,,,,,,LD0005916015_1_0005916075,https://media.ldlc.com/r1600/ld/products/00/05/91/60/LD0005916015_1_0005916075.jpg,Modèle,N3U-16-S4
,,,,,,LD0005916016_1_0005916076,https://media.ldlc.com/r1600/ld/products/00/05/91/60/LD0005916016_1_0005916076.jpg,Système d'exploitation,Sans OS
,,,,,,LD0005916017_1_0005916077,https://media.ldlc.com/r1600/ld/products/00/05/91/60/LD0005916017_1_0005916077.jpg,Famille OS,Sans OS
,,,,,,,,Langue de l'OS,N/A
,,,,,,,,Système d'exploitation fourni,Non
,,,,,,,,Marque processeur,Intel
,,,,,,,,Processeur,Intel Core i3
,,,,,,,,Plateforme (Proc.),Intel Comet Lake
,,,,,,,,Type de processeur,Intel i3-10110U (Dual-Core 2.1 GHz / 4.1 GHz Turbo - 4 Threads - Cache 4 Mo - TDP 15W)
,,,,,,,,Fréquence CPU,2.1GHz
,,,,,,,,Nombre de core,2
,,,,,,,,Taille de la mémoire,16Go
,,,,,,,,Nombre de barrettes,1
,,,,,,,,Nombre de slots mémoire disponibles,1
,,,,,,,,Type de mémoire,DDR4
,,,,,,,,Fréquence(s) Mémoire,DDR4 2666 MHz
,,,,,,,,Taille de mémoire Max,32Go
,,,,,,,,GPU series,Intel UHD
,,,,,,,,Chipset graphique,Intel UHD Graphics
,,,,,,,,Max-Q (Design GPU),Non
,,,,,,,,RTX Studio,Non
,,,,,,,,Ecran tactile,Non
,,,,,,,,Type de Dalle,Dalle TN
,,,,,,,,Type d'écran,LED
,,,,,,,,Taille de l'écran,15.6pouces
,,,,,,,,Résolution Max,1920 x 1080 pixels
,,,,,,,,Format de l'écran,16/9
,,,,,,,,Ecran large,Oui
,,,,,,,,Dalle mate/antireflets,Oui
,,,,,,,,Dalle brillante,Non
,,,,,,,,NVIDIA G-SYNC,Non
,,,,,,,,VR Ready (réalité virtuelle),Non
,,,,,,,,Taux de rafraîchissement,60 Hz
,,,,,,,,Configuration disque(s),SSD 480 Go
,,,,,,,,Disque dur,SSD 480 Go
,,,,,,,,Disque secondaire,Sans disque secondaire
,,,,,,,,Type de Disque,SSD (Solid State Drive)
,,,,,,,,Interface du disque dur,Serial ATA 6Gb/s (SATA Revision 3)
,,,,,,,,Nombre de disques,1
,,,,,,,,Nombre de disques max,2
,,,,,,,,Emplacement mSATA/M.2,M.2 (disponible)
,,,,,,,,Lecteur Optique,Graveur DVD Super Multi
,,,,,,,,Lecteur de cartes,micro SD
,,,,,,,,Lecteur de cartes,micro SDHC
,,,,,,,,Lecteur de cartes,micro SDXC
,,,,,,,,Norme(s) réseau,10/100/1000 Mbps
,,,,,,,,Norme(s) réseau sans-fil,Bluetooth
,,,,,,,,Norme(s) réseau sans-fil,Wi-Fi 6 AX
,,,,,,,,Technologie Intel vPro,Non
,,,,,,,,Sans-fil,Oui
,,,,,,,,Webcam,Oui
